鄉鎮市區碼,醫院家數,醫事人員總計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生,臨床社會工作人員,其他技術人員,行政事務人員,技工工友司機,鄉鎮市區名稱
4316,1,177,23,0,0,7,0,8,0,8,0,86,36,0,0,2,4,1,0,0,0,0,2,0,0,0,0,1,9,46,33,屏東縣枋寮鄉
4401,3,360,60,0,3,16,1,16,0,13,0,183,41,0,0,4,10,5,4,0,1,0,0,2,1,0,0,6,12,99,108,澎湖縣馬公市
4501,4,2191,407,15,20,96,0,105,0,70,2,1239,97,1,1,20,37,4,20,1,7,2,41,5,1,0,0,22,507,562,89,花蓮縣花蓮市
4502,1,144,14,0,0,9,1,4,0,3,0,54,46,0,0,2,4,2,2,0,1,0,2,0,0,0,0,4,3,28,50,花蓮縣鳳林鎮
4503,3,601,85,1,3,28,0,17,0,10,0,329,59,0,0,4,5,3,32,6,19,0,0,0,0,0,0,29,55,149,328,花蓮縣玉里鎮
4504,1,284,54,0,4,15,1,13,0,9,0,142,22,0,0,3,6,4,5,0,4,0,2,0,0,0,0,5,16,108,59,花蓮縣新城鄉
4506,1,67,6,0,1,3,0,0,0,1,0,40,5,0,0,2,0,0,5,0,4,0,0,0,0,0,0,5,26,14,7,花蓮縣壽豐鄉
4508,1,18,4,0,0,2,0,2,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,花蓮縣豐濱鄉
4601,5,1183,154,3,3,55,0,51,0,32,0,689,121,0,0,16,14,7,17,0,4,0,14,3,0,0,0,23,173,321,134,臺東縣臺東市
4602,1,13,2,0,1,1,0,1,0,1,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,1,臺東縣成功鎮
4603,1,54,7,3,0,4,1,4,0,3,0,20,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,13,23,0,臺東縣關山鎮
9003,1,260,37,0,2,11,3,14,1,14,0,135,21,0,0,3,9,5,4,0,1,0,0,0,0,0,0,4,5,100,33,金門縣金湖鎮
9101,1,36,7,0,2,2,0,2,0,2,0,15,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,連江縣南竿鄉
